ダウンロードした時刻：2019/06/18 15:28:25,,,
,,,
,奈良,奈良,奈良
年月,最低気温(℃),最低気温(℃),最低気温(℃)
,,,
2000/1/1,-3.4,8,1
2000/2/1,-3.5,8,1
2000/3/1,-3.6,8,1
2000/4/1,0.8,8,1
2000/5/1,6.5,8,1
2000/6/1,11.1,8,1
2000/7/1,17.9,8,1
2000/8/1,19.6,8,1
2000/9/1,12.6,8,1
2000/10/1,5.7,8,1
2000/11/1,0,8,1
2000/12/1,-3.3,8,1
2019/1/18,-3.9,8,1
2019/2/18,-3.7,8,1
2019/3/18,-0.5,8,1
2019/4/18,3,8,1
2019/5/18,6.9,8,1
2019/6/18,13.4,8,1
2019/7/18,21.5,8,1
2019/8/18,17.4,8,1
2019/9/18,14.8,8,1
2019/10/18,8.8,8,1
2019/11/18,2.5,8,1
2019/12/18,-1.4,8,1
